Team Number,Match Number,Alliance Color,Scouter Name,Competition,Starting Position,Auto Notes in Speaker,Auto Notes in Amp,Auto Pickup Location,Tele Notes in Speaker,Tele Notes in Amp,Notes in Trap,Where Notes Scored,Climb,Driver Confidence,Intake Preference,Disabled,Defense Ratiing,Comments
1306,31,"""Red""","""Nathan 6421""",2024wimi,2,1,0,None,3,0,0,"""Subwoofer""","""Parked""",3,"""Ground""","""No""",0,""""""
1306,37,"""Blue""","""Olive Lensink 6381""",2024wimi,3,1,0,None,3,0,0,"""Subwoofer""","""Parked""",2,"""Ground""","""No""",2,""""""
1306,50,"""Red""","""Ellen Halvorsen 6381""",2024wimi,4,1,0,None,0,6,0,None,"""Parked""",1,"""Ground""","""No""",0,""""""
1306,60,"""Red""","""Ashley kohls 930""",2024wimi,3,1,0,None,0,4,0,None,"""Not Attempted""",1,"""Ground""","""No""",0,""""""
1306,74,"""Red""","""Casey Frahmann 6421""",2024wimi,3,1,0,"""Center Line""",1,6,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,"""Amp, very good at scoring amp"""
1306,87,"""Blue""","""Liam 6421""",2024wimi,2,1,0,None,0,4,0,None,"""Parked""",1,"""Ground""","""No""",0,"""Powered off 2358"""
1675,1,"""Red""","""Aidan L 6421""",2024wimi,2,1,0,None,1,4,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
1675,18,"""Red""","""Noah Dinan 1675""",2024wimi,4,1,0,None,4,3,0,"""Subwoofer""","""Parked""",1,"""Ground""","""No""",0,""""""
1675,24,"""Red""","""Noah Dinan""",2024wimi,4,1,0,None,0,2,0,None,"""Parked""",2,"""Ground""","""No""",2,""""""
1675,31,"""Blue""","""Aidan 6421""",2024wimi,4,1,0,None,1,2,0,"""Subwoofer""","""Parked""",2,Neither,"""No""",0,""""""
1675,39,"""Red""","""Landon 6381""",2024wimi,2,1,0,None,1,4,0,None,"""Not Attempted""",2,"""Ground""","""No""",1,""""""
1675,46,"""Red""","""Lawson 930""",2024wimi,2,0,0,None,1,5,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
1675,61,"""Blue""","""Michael 1675""",2024wimi,2,1,0,None,1,6,0,"""Subwoofer"", ""Wing"", ""Center Line""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
1675,71,"""Blue""","""Michael 1675""",2024wimi,4,1,0,None,1,4,0,"""Subwoofer"", ""Center Line""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
1675,82,"""Blue""","""Liam 6421""",2024wimi,4,1,0,None,3,3,0,"""Subwoofer""","""Parked""",1,"""Ground""","""No""",0,""""""
1714,1,"""Red""","""Nathan 6421""",2024wimi,2,1,0,None,2,4,0,"""Subwoofer""","""Attempted But Failed""",1,"""Ground""","""No""",0,""""""
1714,10,"""Blue""","""Everett Hilby 5148""",2024wimi,2,1,0,"""Wing""",3,5,0,"""Subwoofer"", ""Wing""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
1714,11,"""Red""","""""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",1,Neither,"""No""",0,""""""
1714,27,"""Red""","""Logan K 930""",2024wimi,3,1,0,None,0,0,0,"""Subwoofer""","""Parked""",3,"""Ground""","""No""",0,"""Seemed to be having communication issues. spinning in circles the whole time"""
1714,33,"""Red""","""Nathan 6421""",2024wimi,2,1,0,None,4,6,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
1714,44,"""Blue""","""Shane 6381""",2024wimi,3,3,0,"""Wing"", ""Center Line""",2,5,0,"""Subwoofer"", ""Podium"", ""Wing""","""Attempted But Failed""",2,"""Ground""","""No""",0,""""""
1714,51,"""Red""","""Ellen Halvorsen 6381""",2024wimi,3,2,0,"""Wing""",3,6,0,"""Wing""","""Single Climb""",2,"""Ground""","""No""",0,""""""
1714,59,"""Blue""","""Aidan 6421""",2024wimi,3,1,0,None,0,0,0,None,"""Single Climb""",1,Neither,"""No""",2,"""Cycled notes to blue side, pinned a lot of enemies, 3 we one c!imb"""
1714,70,"""Blue""","""AQ6421""",2024wimi,3,4,0,None,1,6,0,None,"""Not Attempted""",1,"""Ground""","""No""",0,"""High amp score"""
1714,77,"""Blue""","""Dhakshesh K 5148""",2024wimi,3,2,0,"""Wing"", ""Center Line""",5,6,0,"""Subwoofer"", ""Wing""","""Single Climb""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,"""Very strong and confident driving, efficient. does not do well against defending as it was. very shaky and unstable when accidentally bumped by another robot"""
1714,84,"""Red""","""Rishi Jangam 5148""",2024wimi,3,3,0,None,4,7,0,"""Subwoofer"", ""Wing""","""Harmonized""",1,"""Ground""","""No""",0,"""They had really smooth cycling and the communication was phenomenal"""
1732,2,"""Red""","""Nathan 6421""",2024wimi,4,0,0,"""Wing""",4,6,1,"""Wing""","""Single Climb""",1,"""Ground""","""No""",0,""""""
1732,10,"""Red""","""""",2024wimi,1,0,0,None,1,4,0,"""Wing""","""Single Climb""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",1,"""Very versatile robot"""
1732,19,"""Blue""","""Richard 6421""",2024wimi,2,3,0,None,2,3,0,None,"""Single Climb""",1,"""Ground""","""No""",0,"""Attempted trap"""
1732,32,"""Red""","""Jay 1675""",2024wimi,2,0,1,"""Center Line""",7,3,0,"""Podium"", ""Wing"", ""Center Line""","""Single Climb""",1,"""Ground""","""No""",0,"""Team was good at scoring between amp and speaker and had a good plan on what they wanted to do during the match"""
1732,40,"""Red""","""Jay 1675""",2024wimi,2,0,1,"""Center Line""",3,3,0,"""Wing"", ""Center Line""","""Parked""",2,Neither,"""No""",0,"""Did an alright job scoring and getting around"""
1732,49,"""Blue""","""Liam 6421""",2024wimi,2,1,0,"""Center Line""",2,6,0,"""Wing""","""Parked""",1,"""Ground""","""No""",0,"""Very precise movements """
1732,58,"""Red""","""Eirian  930""",2024wimi,2,0,0,None,2,1,0,"""Subwoofer"", ""Podium""","""Parked""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,"""I missed some data because we had issues connecting."""
1732,64,"""Red""","""Ava H 930""",2024wimi,2,1,0,"""Center Line""",2,5,0,"""Subwoofer""","""Parked""",1,"""Ground""","""No""",0,""""""
1732,80,"""Blue""","""Dhakshesh K 5148""",2024wimi,2,0,0,"""Wing"", ""Center Line""",3,4,1,"""Podium"", ""Wing""","""Single Climb""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",1,"""Efficient at moving and scoring. a bit rough at scoring on speaker"""
1732,87,"""Blue""","""Ethan 930""",2024wimi,4,0,0,"""Center Line""",6,3,0,"""Subwoofer"", ""Wing""","""Single Climb""",2,"""Ground""","""No""",0,"""They tried to put note in the trap."""
1781,15,"""Blue""","""Keegan 930""",2024wimi,3,2,0,"""Wing""",5,1,0,"""Subwoofer"", ""Podium"", ""Wing""","""Single Climb""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
1781,28,"""Red""","""Jay 1675""",2024wimi,3,0,2,"""Wing""",3,4,0,"""Wing"", ""Center Line""","""Not Attempted""",1,"""Ground""","""No""",0,"""Did a pretty god job scoring, driver(s) knew what they were doing"""
1781,37,"""Red""","""Jay 1675""",2024wimi,3,0,0,None,2,1,0,None,"""Single Climb""",2,"""Ground""","""No""",0,"""Was decent at scoring and was good climbing during endgame"""
1781,47,"""Red""","""""",2024wimi,2,3,0,None,6,1,0,"""Subwoofer"", ""Podium"", ""Wing"", ""Center Line""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
1781,55,"""Blue""","""Liam 6421""",2024wimi,4,1,0,None,1,4,0,None,"""Single Climb""",1,"""Ground""","""No""",0,""""""
1781,64,"""Red""","""Casey Frahmann 6421""",2024wimi,4,0,0,None,2,3,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,"""Consistently scored in amp"""
1781,77,"""Blue""","""Olive 6381""",2024wimi,2,1,0,None,7,2,0,"""Subwoofer"", ""Wing""","""Parked""",2,"""Ground""","""No""",0,""""""
1781,83,"""Blue""","""Boden 930""",2024wimi,2,1,0,None,3,2,0,"""Subwoofer""","""Parked""",3,"""Ground""","""No""",0,"""Dangerous intake """
1792,5,"""Red""","""Nathan 6421""",2024wimi,3,1,0,None,4,0,0,"""Subwoofer"", ""Wing""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
1792,19,"""Blue""","""Michael 1675""",2024wimi,4,1,0,None,0,2,0,"""Subwoofer""","""Single Climb""",3,"""Ground""","""No""",0,""""""
1792,36,"""Blue""","""Liam 6421""",2024wimi,4,1,0,None,0,0,0,"""Subwoofer""","""Single Climb""",3,"""Ground""","""No""",0,"""Kept getting under 2358\nNote stuck\n"""
1792,45,"""Red""","""Kabao 6381""",2024wimi,2,2,0,"""Wing""",2,0,0,"""Subwoofer""","""Not Attempted""",3,Neither,"""No""",1,""""""
1792,50,"""Blue""","""Nikolae Munguia 6381""",2024wimi,2,0,0,None,2,0,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""Yes - Part Of Match""",0,"""didn't preform well, had a weak auto and disabled during the match"""
1792,63,"""Red""","""Ashley kohls 930""",2024wimi,4,0,0,None,3,0,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",2,""""""
1792,70,"""Blue""","""Ava H 930""",2024wimi,2,1,0,None,4,0,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
1792,76,"""Blue""","""Olive 6381""",2024wimi,2,1,0,None,1,0,0,"""Subwoofer""","""Not Attempted""",3,"""Ground""","""No""",0,""""""
1792,85,"""Red""","""Eirian W 930""",2024wimi,2,1,0,None,4,4,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,"""Good amp cycling."""
2062,6,"""Blue""","""Aidan 6421""",2024wimi,1,1,0,None,2,0,0,None,"""Single Climb""",3,"""Ground""","""No""",0,""""""
2062,16,"""Blue""","""Everett Hilby 5148""",2024wimi,2,1,0,None,3,0,0,"""Subwoofer"", ""Wing""","""Parked""",2,"""Ground""","""No""",0,""""""
2062,26,"""Blue""","""6421 K""",2024wimi,2,0,0,None,3,3,0,"""Subwoofer"", ""Podium""","""Single Climb""",3,"""Ground""","""No""",0,""""""
2062,35,"""Red""","""Landon 6381""",2024wimi,4,0,0,None,2,1,0,"""Subwoofer"", ""Wing""","""Not Attempted""",3,"""Ground""","""Yes - Rest Of Match""",0,""""""
2062,44,"""Red""","""Ava H 930""",2024wimi,2,0,0,None,6,2,0,"""Subwoofer"", ""Podium""","""Parked""",1,"""Ground""","""No""",0,""""""
2062,53,"""Blue""","""Logan W 930""",2024wimi,2,1,0,"""Wing""",2,4,0,"""Subwoofer""","""Parked""",2,"""Ground""","""No""",0,"""Has the ability to either shoot amp or speaker very accurately but didn't  have time to complete climb. Overall performed well and efficiently."""
2062,59,"""Blue""","""Michael 1675""",2024wimi,4,1,0,None,0,1,0,"""Center Line""","""Attempted But Failed""",2,"""Ground""","""No""",2,""""""
2062,67,"""Red""","""Noah 1675""",2024wimi,4,1,0,None,1,2,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""Yes - Part Of Match""",0,""""""
2062,75,"""Red""","""Casey Frahmann 6421""",2024wimi,3,0,0,None,1,3,0,"""Subwoofer"", ""Center Line""","""Parked""",3,"""Ground""","""No""",0,""""""
2062,82,"""Red""","""Rishi Jangam 5148""",2024wimi,2,0,0,None,4,5,0,"""Subwoofer"", ""Wing""","""Parked""",2,"""Ground""","""No""",0,"""There was a lot of communication between the drivers"""
2077,2,"""Blue""","""Asher v, bears 930""",2024wimi,1,0,0,None,0,0,0,None,"""Harmonized""",3,"""Ground""","""No""",2,""""""
2077,12,"""Blue""","""Keegan 930""",2024wimi,3,0,0,None,0,0,0,None,"""Harmonized""",2,"""Ground""","""No""",0,"""Robot was in rough shape mechanically. unsure of driver confidence."""
2077,20,"""Red""","""Noah Dinan 1675""",2024wimi,4,1,0,None,0,0,0,"""Subwoofer""","""Attempted But Failed""",1,"""Ground""","""No""",0,""""""
2077,31,"""Red""","""Jay 1675""",2024wimi,4,0,0,None,0,0,0,None,"""Harmonized""",2,Neither,"""No""",1,"""Didn't really score anything, but only focused on defense and climbing during endgame"""
2077,39,"""Red""","""Casey Frahmann 6421""",2024wimi,4,0,0,None,0,0,0,None,"""Not Attempted""",3,"""Ground""","""Yes - Rest Of Match""",0,"""Broke at the start of the match"""
2077,47,"""Blue""","""Shane 6381""",2024wimi,4,0,0,None,0,0,0,None,"""Parked""",3,Neither,"""No""",0,""""""
2077,60,"""Blue""","""Michael 1675""",2024wimi,2,0,0,None,0,0,0,None,"""Attempted But Failed""",3,"""Ground""","""No""",1,""""""
2077,67,"""Red""","""Casey Frahmann 6421""",2024wimi,3,0,0,None,1,2,0,"""Subwoofer""","""Parked""",3,"""Ground""","""No""",0,""""""
2077,75,"""Blue""","""Richard 6421""",2024wimi,1,1,0,None,0,0,0,None,"""Not Attempted""",3,"""Ground""","""No""",0,""""""
2194,8,"""Red""","""Ethan 930""",2024wimi,3,2,0,"""Wing""",5,0,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,"""It got weird connection problem thing in middle of match."""
2194,18,"""Blue""","""Richard 6421""",2024wimi,3,2,0,"""Wing""",5,0,0,None,"""Single Climb""",2,"""Ground""","""No""",0,""""""
2194,24,"""Blue""","""Michael 1675""",2024wimi,3,1,0,"""Wing""",3,0,0,"""Subwoofer"", ""Center Line""","""Single Climb""",1,"""Ground""","""No""",0,""""""
2194,30,"""Red""","""Jay 1675""",2024wimi,4,0,1,"""Center Line""",0,10,0,"""Podium"", ""Wing"", ""Center Line""","""Parked""",1,"""Ground""","""No""",0,"""Scored a high amount of points during match"""
2194,38,"""Blue""","""Olive Lensink 6381""",2024wimi,3,3,0,"""Wing""",9,0,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,""""""
2194,47,"""Red""","""Lawson 930""",2024wimi,3,2,0,"""Wing""",8,0,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
2194,56,"""Blue""","""Nikolae Munguia 6381""",2024wimi,3,1,0,"""Wing""",5,0,0,"""Subwoofer""","""Attempted But Failed""",1,"""Ground""","""No""",0,"""Great performance, scored multiple notes, but failed climb"""
2194,72,"""Red""","""Noah 1675""",2024wimi,3,2,0,None,8,0,0,"""Subwoofer""","""Attempted But Failed""",2,"""Ground""","""No""",0,""""""
2194,81,"""Blue""","""Boden 930""",2024wimi,3,3,0,None,7,0,0,"""Subwoofer""","""Harmonized""",1,"""Ground""","""No""",0,"""Good grab notes from the other alliancw"""
2194,87,"""Red""","""Kabao 6381""",2024wimi,3,2,0,None,5,0,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
2202,1,"""Red""","""Ethan 930""",2024wimi,4,1,0,"""Wing""",6,0,0,"""Subwoofer""","""Single Climb""",3,"""Ground""","""No""",0,"""The shoot is slow at moving to line up the angle."""
2202,5,"""Red""","""""",2024wimi,4,1,0,"""Center Line""",0,0,0,None,"""Not Attempted""",1,"""Ground""","""Yes - Part Of Match""",0,""""""
2202,14,"""Red""","""Casey Frahmann 6421Q""",2024wimi,3,1,0,"""Center Line""",2,0,0,None,"""Not Attempted""",3,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
2202,31,"""Blue""","""Kai 1675""",2024wimi,2,0,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""Yes - Rest Of Match""",0,"""disabled all of match"""
2202,40,"""Blue""","""Olive Lensink 6381""",2024wimi,4,2,0,"""Wing""",0,0,0,None,"""Single Climb""",3,"""Ground""","""No""",2,""""""
2202,48,"""Red""","""Kabao 6381""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",1,"""Ground""","""No""",2,""""""
2202,58,"""Blue""","""Aidan 6421""",2024wimi,4,1,0,None,1,0,0,"""Subwoofer""","""Single Climb""",3,"""Ground""","""No""",0,""""""
2202,72,"""Blue""","""Michael 1675""",2024wimi,4,1,0,"""Wing""",4,0,0,"""Subwoofer""","""Single Climb""",2,"""Ground""","""No""",0,""""""
2202,78,"""Blue""","""Olive 6381""",2024wimi,4,1,0,"""Wing""",6,0,0,"""Podium""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
2202,85,"""Blue""","""Leonardo 5148""",2024wimi,4,1,0,"""Wing""",6,0,0,"""Subwoofer"", ""Podium"", ""Wing"", ""Center Line""","""Parked""",1,"""Ground""","""No""",0,""""""
2220,5,"""Blue""","""Asher v, BEARS 930""",2024wimi,4,1,0,"""Wing""",1,0,0,"""Wing""","""Parked""",3,"""Ground""","""No""",0,""""""
2220,13,"""Red""","""Evan 930""",2024wimi,3,0,0,None,0,6,0,None,"""Not Attempted""",1,"""Ground""","""Yes - Rest Of Match""",0,""""""
